gene,annotation,symbol
AT4G26860,"Putative pyridoxal phosphate-dependent enzyme, YBL036C type(AT4G26860)",AT4G26860
AT4G26870,Class II aminoacyl-tRNA and biotin synthetases superfamily protein(AT4G26870),AT4G26870
AT4G26880,Stigma-specific Stig1 family protein(AT4G26880),AT4G26880
AT4G26890,mitogen-activated protein kinase kinase kinase 16(MAPKKK16),MAPKKK16
AT4G26900,HIS HF(AT-HF),AT-HF
AT4G26910,Dihydrolipoamide succinyltransferase(AT4G26910),AT4G26910
AT4G26930,myb domain protein 97(MYB97),MYB97
AT4G26940,Galactosyltransferase family protein(AT4G26940),AT4G26940
AT4G26950,"senescence regulator (Protein of unknown function, DUF584)(AT4G26950)",AT4G26950
AT4G26960,hypothetical protein(AT4G26960),AT4G26960
AT4G26965,"NADH:ubiquinone oxidoreductase, 17.2kDa subunit(AT4G26965)",AT4G26965
AT4G26970,aconitase 2(ACO2),ACO2
AT4G26980,RNI-like superfamily protein(AT4G26980),AT4G26980
AT4G26990,polyadenylate-binding protein interacting protein(AT4G26990),AT4G26990
AT4G27000,RNA-binding (RRM/RBD/RNP motifs) family protein(ATRBP45C),ATRBP45C
AT4G27010,ribosome 60S biogenesis amino-terminal protein(EMB2788),EMB2788
AT4G27020,"inositol-1,4,5-trisphosphate 5-phosphatase(AT4G27020)",AT4G27020
AT4G27030,fatty acid desaturase A(FADA),FADA
AT4G27040,EAP30/Vps36 family protein(VPS22),VPS22
AT4G27050,F-box/RNI-like superfamily protein(AT4G27050),AT4G27050
AT4G27060,ARM repeat superfamily protein(TOR1),TOR1
AT4G27070,tryptophan synthase beta-subunit 2(TSB2),TSB2
AT4G27080,PDI-like 5-4(PDIL5-4),PDIL5-4
AT4G27090,Ribosomal protein L14(AT4G27090),AT4G27090
AT4G27100,Ypt/Rab-GAP domain of gyp1p superfamily protein(AT4G27100),AT4G27100
AT4G27120,DDRGK domain protein(AT4G27120),AT4G27120
AT4G27130,Translation initiation factor SUI1 family protein(AT4G27130),AT4G27130
AT4G27140,seed storage albumin 1(SESA1),SESA1
AT4G27150,seed storage albumin 2(SESA2),SESA2
AT4G27160,seed storage albumin 3(SESA3),SESA3
AT4G27170,seed storage albumin 4(SESA4),SESA4
AT4G27180,kinesin 2(ATK2),ATK2
AT4G27220,NB-ARC domain-containing disease resistance protein(AT4G27220),AT4G27220
AT4G27230,histone H2A 2(HTA2),HTA2
AT4G27240,zinc finger (C2H2 type) family protein(AT4G27240),AT4G27240
AT4G27250,NAD(P)-binding Rossmann-fold superfamily protein(AT4G27250),AT4G27250
AT4G27260,Auxin-responsive GH3 family protein(WES1),WES1
AT4G27270,Quinone reductase family protein(AT4G27270),AT4G27270
AT4G27280,Calcium-binding EF-hand family protein(AT4G27280),AT4G27280
AT4G27290,S-locus lectin protein kinase family protein(AT4G27290),AT4G27290
AT4G27300,S-locus lectin protein kinase family protein(AT4G27300),AT4G27300
AT4G27310,B-box type zinc finger family protein(BBX28),BBX28
AT4G27320,Adenine nucleotide alpha hydrolases-like superfamily protein(PHOS34),PHOS34
AT4G27340,Met-10+ like family protein(AT4G27340),AT4G27340
AT4G27350,"membrane lipoprotein lipid attachment site-like protein, putative (DUF1223)(AT4G27350)",AT4G27350
AT4G27360,Dynein light chain type 1 family protein(AT4G27360),AT4G27360
AT4G27370,P-loop containing nucleoside triphosphate hydrolases superfamily protein(VIIIB),VIIIB
AT4G27380,hypothetical protein(AT4G27380),AT4G27380
AT4G27390,transmembrane protein(AT4G27390),AT4G27390
AT4G27400,Late embryogenesis abundant (LEA) protein-like protein(AT4G27400),AT4G27400
AT4G27410,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein(RD26),RD26
AT4G27430,COP1-interacting protein 7(CIP7),CIP7
AT4G27435,fiber (DUF1218)(AT4G27435),AT4G27435
AT4G27440,protochlorophyllide oxidoreductase B(PORB),PORB
AT4G27450,aluminum induced protein with YGL and LRDR motifs(AT4G27450),AT4G27450
AT4G27460,Cystathionine beta-synthase (CBS) family protein(CBSX5),CBSX5
AT4G27470,RING membrane-anchor 3(RMA3),RMA3
AT4G27480,"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein(AT4G27480)",AT4G27480
AT4G27490,3'-5'-exoribonuclease family protein(RRP41L),RRP41L
AT4G27500,proton pump interactor 1(PPI1),PPI1
AT4G27510,2-isopropylmalate synthase(AT4G27510),AT4G27510
AT4G27520,early nodulin-like protein 2(ENODL2),ENODL2
AT4G27530,hypothetical protein(AT4G27530),AT4G27530
AT4G27540,prenylated RAB acceptor 1.H(PRA1.H),PRA1.H
AT4G27550,trehalose-6-phosphatase synthase S4(TPS4),TPS4
AT4G27560,UDP-Glycosyltransferase superfamily protein(AT4G27560),AT4G27560
AT4G27570,UDP-Glycosyltransferase superfamily protein(AT4G27570),AT4G27570
AT4G27580,phosphatidylinositol transfer SFH5-like protein(AT4G27580),AT4G27580
AT4G27585,SPFH/Band 7/PHB domain-containing membrane-associated protein family(AT4G27585),AT4G27585
AT4G27590,Heavy metal transport/detoxification superfamily protein(AT4G27590),AT4G27590
AT4G27595,WEB family protein (DUF827)(AT4G27595),AT4G27595
AT4G27600,pfkB-like carbohydrate kinase family protein(NARA5),NARA5
AT4G27610,intracellular protein transporter(AT4G27610),AT4G27610
AT4G27620,intracellular protein transporter(AT4G27620),AT4G27620
AT4G27630,GPCR-type G protein 2(GTG2),GTG2
AT4G27640,ARM repeat superfamily protein(AT4G27640),AT4G27640
AT4G27650,Eukaryotic release factor 1 (eRF1) family protein(PEL1),PEL1
AT4G27652,hypothetical protein(AT4G27652),AT4G27652
AT4G27654,transmembrane protein(AT4G27654),AT4G27654
AT4G27657,hypothetical protein(AT4G27657),AT4G27657
AT4G27660,hypothetical protein(AT4G27660),AT4G27660
AT4G27670,heat shock protein 21(HSP21),HSP21
AT4G27680,P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT4G27680),AT4G27680
AT4G27690,vacuolar protein sorting 26B(VPS26B),VPS26B
AT4G27700,Rhodanese/Cell cycle control phosphatase superfamily protein(AT4G27700),AT4G27700
AT4G27710,"cytochrome P450, family 709, subfamily B, polypeptide 3(CYP709B3)",CYP709B3
AT4G27720,Major facilitator superfamily protein(AT4G27720),AT4G27720
AT4G27730,oligopeptide transporter 1(OPT6),OPT6
AT4G27740,Yippee family putative zinc-binding protein(AT4G27740),AT4G27740
AT4G27745,Yippee family putative zinc-binding protein(AT4G27745),AT4G27745
AT4G27750,binding protein(ISI1),ISI1
AT4G27760,NAD(P)-binding Rossmann-fold superfamily protein(FEY),FEY
AT4G27780,acyl-CoA binding protein 2(ACBP2),ACBP2
AT4G27790,Calcium-binding EF hand family protein(AT4G27790),AT4G27790
AT4G27800,thylakoid-associated phosphatase 38(TAP38),TAP38
AT4G27810,hypothetical protein(AT4G27810),AT4G27810
AT4G27820,beta glucosidase 9(BGLU9),BGLU9
AT4G27830,beta glucosidase 10(BGLU10),BGLU10
AT4G27840,SNARE-like superfamily protein(AT4G27840),AT4G27840
AT4G27850,Glycine-rich protein family(AT4G27850),AT4G27850
AT4G27852,ncRNA(AT4G27852),AT4G27852
AT4G27860,vacuolar iron transporter (VIT) family protein(MEB1),MEB1
AT4G27870,Vacuolar iron transporter (VIT) family protein(AT4G27870),AT4G27870
AT4G27880,Protein with RING/U-box and TRAF-like domain(AT4G27880),AT4G27880
AT4G27890,HSP20-like chaperones superfamily protein(AT4G27890),AT4G27890
AT4G27900,CCT motif family protein(AT4G27900),AT4G27900
AT4G27910,SET domain protein 16(SDG16),SDG16
AT4G27940,manganese tracking factor for mitochondrial SOD2(MTM1),MTM1
AT4G27950,cytokinin response factor 4(CRF4),CRF4
AT4G27960,ubiquitin conjugating enzyme 9(UBC9),UBC9
AT4G27970,SLAC1 homologue 2(SLAH2),SLAH2
AT4G27980,trichohyalin-like protein (DUF3444)(AT4G27980),AT4G27980
AT4G27990,YGGT family protein(YLMG1-2),YLMG1-2
AT4G28005,NADH dehydrogenase ubiquinone 1 alpha subcomplex subunit(AT4G28005),AT4G28005
AT4G28010,Tetratricopeptide repeat (TPR)-like superfamily protein(AT4G28010),AT4G28010
AT4G28020,tRNA-thr(GGU) m(6)t(6)A37 methyltransferase(AT4G28020),AT4G28020)
AT4G28025,hypothetical protein(AT4G28025),AT4G28025
AT4G28030,Acyl-CoA N-acyltransferases (NAT) superfamily protein(AT4G28030),AT4G28030
AT4G28040,nodulin MtN21 /EamA-like transporter family protein(UMAMIT33),UMAMIT33
AT4G28050,tetraspanin7(TET7),TET7
AT4G28060,"Cytochrome c oxidase, subunit Vib family protein(AT4G28060)",AT4G28060
AT4G28070,AFG1-like ATPase family protein(AT4G28070),AT4G28070
AT4G28080,Tetratricopeptide repeat (TPR)-like superfamily protein(AT4G28080),AT4G28080
AT4G28085,transmembrane protein(AT4G28085),AT4G28085
AT4G28088,Low temperature and salt responsive protein family(AT4G28088),AT4G28088
AT4G28100,transmembrane protein(AT4G28100),AT4G28100
AT4G28110,myb domain protein 41(MYB41),MYB41
AT4G28140,Integrase-type DNA-binding superfamily protein(AT4G28140),AT4G28140
AT4G28150,hypothetical protein (DUF789)(AT4G28150),AT4G28150
AT4G28160,hydroxyproline-rich glycoprotein family protein(AT4G28160),AT4G28160
AT4G28170,transmembrane protein(AT4G28170),AT4G28170
AT4G28180,hypothetical protein(AT4G28180),AT4G28180
AT4G28190,"Developmental regulator, ULTRAPETALA(ULT1)",ULT1
AT4G28200,U3 small nucleolar RNA-associated-like protein(AT4G28200),AT4G28200
AT4G28210,embryo defective 1923(EMB1923),EMB1923
AT4G28220,NAD(P)H dehydrogenase B1(NDB1),NDB1
AT4G28230,hypothetical protein(AT4G28230),AT4G28230
AT4G28240,Wound-responsive family protein(AT4G28240),AT4G28240
AT4G28250,expansin B3(EXPB3),EXPB3
AT4G28260,acyl-UDP-N-acetylglucosamine O-acyltransferase(AT4G28260),AT4G28260
AT4G28270,RING membrane-anchor 2(RMA2),RMA2
AT4G28280,LORELEI-LIKE-GPI ANCHORED PROTEIN 3(LLG3),LLG3
AT4G28290,hypothetical protein(AT4G28290),AT4G28290
AT4G28300,formin-like protein (DUF1421)(AT4G28300),AT4G28300
AT4G28310,microtubule-associated protein(AT4G28310),AT4G28310
AT4G28320,Glycosyl hydrolase superfamily protein(MAN5),MAN5
AT4G28330,pyrroline-5-carboxylate reductase(AT4G28330),AT4G28330
AT4G28340,pyrroline-5-carboxylate reductase(AT4G28340),AT4G28340
AT4G28350,Concanavalin A-like lectin protein kinase family protein(AT4G28350),AT4G28350
AT4G28360,Ribosomal protein L22p/L17e family protein(AT4G28360),AT4G28360
AT4G28370,RING/U-box superfamily protein(AT4G28370),AT4G28370
AT4G28390,ADP/ATP carrier 3(AAC3),AAC3
AT4G28400,Protein phosphatase 2C family protein(AT4G28400),AT4G28400
AT4G28405,Expressed protein(AT4G28405),AT4G28405
AT4G28410,Tyrosine transaminase family protein(AT4G28410),AT4G28410
AT4G28420,Tyrosine transaminase family protein(AT4G28420),AT4G28420
AT4G28430,Reticulon family protein(AT4G28430),AT4G28430
AT4G28440,"Nucleic acid-binding, OB-fold-like protein(AT4G28440)",AT4G28440
AT4G28450,WD repeat and SOF domain-containing protein 1(AT4G28450),AT4G28450
AT4G28460,transmembrane protein(AT4G28460),AT4G28460
AT4G28470,26S proteasome regulatory subunit S2 1B(RPN1B),RPN1B
AT4G28480,DNAJ heat shock family protein(AT4G28480),AT4G28480
AT4G28485,"transmembrane protein, putative (DUF679 domain membrane protein 7)(DMP7)",DMP7
AT4G28490,Leucine-rich receptor-like protein kinase family protein(HAE),HAE
AT4G28500,NAC domain containing protein 73(NAC073),NAC073
AT4G28510,prohibitin 1(PHB1),PHB1
AT4G28520,cruciferin 3(CRU3),CRU3
AT4G28530,NAC domain containing protein 74(NAC074),NAC074
AT4G28540,casein kinase I-like 6(CKL6),CKL6
AT4G28550,Ypt/Rab-GAP domain of gyp1p superfamily protein(AT4G28550),AT4G28550
AT4G28556,PAK-box/P21-Rho-binding family protein(RIC7),RIC7
AT4G28560,ROP-interactive CRIB motif-containing protein 7(RIC7),RIC7
AT4G28570,Long-chain fatty alcohol dehydrogenase family protein(AT4G28570),AT4G28570
AT4G28590,polyadenylate-binding protein 2-binding protein(MRL7),MRL7
AT4G28600,no pollen germination related 2(NPGR2),NPGR2
AT4G28610,phosphate starvation response 1(PHR1),PHR1
AT4G28630,ABC transporter of the mitochondrion 1(ABCB23),ABCB23
AT4G28640,indole-3-acetic acid inducible 11(IAA11),IAA11
AT4G28650,Leucine-rich repeat transmembrane protein kinase family protein(AT4G28650),AT4G28650
AT4G28660,photosystem II reaction center PSB28 protein(PSB28),PSB28
AT4G28680,L-tyrosine decarboxylase(TYRDC),TYRDC
AT4G28690,hypothetical protein(AT4G28690),AT4G28690
AT4G28700,ammonium transporter 1;4(AMT1;4),AMT1;4
AT4G28703,RmlC-like cupins superfamily protein(AT4G28703),AT4G28703
AT4G28706,pfkB-like carbohydrate kinase family protein(AT4G28706),AT4G28706
AT4G28710,Myosin family protein with Dil domain-containing protein(XIH),XIH
AT4G28720,Flavin-binding monooxygenase family protein(YUC8),YUC8
AT4G28730,Glutaredoxin family protein(GrxC5),GrxC5
AT4G28740,LOW PSII ACCUMULATION-like protein(AT4G28740),AT4G28740
AT4G28750,Photosystem I reaction centre subunit IV / PsaE protein(PSAE-1),PSAE-1
AT4G28760,"methyl-coenzyme M reductase II subunit gamma, putative (DUF3741)(TRM20)",TRM20
AT4G28770,Tetraspanin family protein(AT4G28770),AT4G28770
AT4G28780,GDSL-like Lipase/Acylhydrolase superfamily protein(AT4G28780),AT4G28780
AT4G28790,basic helix-loop-helix (bHLH) DNA-binding superfamily protein(AT4G28790),AT4G28790
AT4G28800,basic helix-loop-helix (bHLH) DNA-binding superfamily protein(AT4G28800),AT4G28800
AT4G28811,basic helix-loop-helix (bHLH) DNA-binding superfamily protein(AT4G28811),AT4G28811
AT4G28815,basic helix-loop-helix (bHLH) DNA-binding superfamily protein(AT4G28815),AT4G28815
AT4G28820,HIT-type Zinc finger family protein(AT4G28820),AT4G28820
AT4G28830,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT4G28830),AT4G28830
AT4G28840,mediator of RNA polymerase II transcription subunit(AT4G28840),AT4G28840
AT4G28850,xyloglucan endotransglucosylase/hydrolase 26(XTH26),XTH26
AT4G28860,casein kinase I-like 4(ckl4),ckl4
AT4G28880,casein kinase I-like 3(ckl3),ckl3
AT4G28890,RING/U-box superfamily protein(AT4G28890),AT4G28890
AT4G28900,hypothetical protein(AT4G28900),AT4G28900
AT4G28910,Putative interactor of JAZ(NINJA),NINJA
AT4G28930,hypothetical protein(AT4G28930),AT4G28930
AT4G28940,Phosphorylase superfamily protein(AT4G28940),AT4G28940
AT4G28950,RHO-related protein from plants 9(ROP9),ROP9
AT4G28980,CDK-activating kinase 1AT(CAK1AT),CAK1AT
AT4G28990,RNA-binding protein-like protein(AT4G28990),AT4G28990
AT4G29000,Tesmin/TSO1-like CXC domain-containing protein(AT4G29000),AT4G29000
AT4G29010,Enoyl-CoA hydratase/isomerase family(AIM1),AIM1
AT4G29020,glycine-rich protein(AT4G29020),AT4G29020
AT4G29030,Putative membrane lipoprotein(AT4G29030),AT4G29030
AT4G29040,regulatory particle AAA-ATPase 2A(RPT2a),RPT2a
AT4G29050,Concanavalin A-like lectin protein kinase family protein(AT4G29050),AT4G29050
AT4G29060,elongation factor Ts family protein(emb2726),emb2726
AT4G29070,Phospholipase A2 family protein(AT4G29070),AT4G29070
AT4G29080,phytochrome-associated protein 2(PAP2),PAP2
AT4G29100,basic helix-loop-helix (bHLH) DNA-binding superfamily protein(AT4G29100),AT4G29100
AT4G29110,cotton fiber protein(AT4G29110),AT4G29110
AT4G29120,6-phosphogluconate dehydrogenase family protein(AT4G29120),AT4G29120
AT4G29130,hexokinase 1(HXK1),HXK1
AT4G29140,MATE efflux family protein(ADS1),ADS1
AT4G29150,IQ-domain 25(IQD25),IQD25
AT4G29160,SNF7 family protein(SNF7.1),SNF7.1
AT4G29170,Mnd1 family protein(ATMND1),ATMND1
AT4G29180,root hair specific 16(RHS16),RHS16
AT4G29190,Zinc finger C-x8-C-x5-C-x3-H type family protein(OZF2),OZF2
AT4G29200,Beta-galactosidase related protein(AT4G29200),AT4G29200
AT4G29210,gamma-glutamyl transpeptidase 4(GGT4),GGT4
AT4G29220,phosphofructokinase 1(PFK1),PFK1
AT4G29230,NAC domain containing protein 75(NAC075),NAC075
AT4G29240,Leucine-rich repeat (LRR) family protein(AT4G29240),AT4G29240
AT4G29260,"HAD superfamily, subfamily IIIB acid phosphatase(AT4G29260)",AT4G29260
AT4G29270,"HAD superfamily, subfamily IIIB acid phosphatase(AT4G29270)",AT4G29270
AT4G29305,low-molecular-weight cysteine-rich 25(LCR25),LCR25
AT4G29310,DUF1005 family protein (DUF1005)(AT4G29310),AT4G29310
AT4G29330,DERLIN-1(DER1),DER1
AT4G29340,profilin 4(PRF4),PRF4
AT4G29350,profilin 2(PFN2),PFN2
AT4G29360,O-Glycosyl hydrolases family 17 protein(AT4G29360),AT4G29360
AT4G29370,Galactose oxidase/kelch repeat superfamily protein(AT4G29370),AT4G29370
AT4G29380,protein kinase family protein / WD-40 repeat family protein(VPS15),VPS15
AT4G29390,Ribosomal protein S30 family protein(AT4G29390),AT4G29390
AT4G29400,oxidoreductase/transition metal ion-binding protein (DUF3531)(AT4G29400),AT4G29400
AT4G29410,Ribosomal L28e protein family(AT4G29410),AT4G29410
AT4G29420,F-box/RNI-like superfamily protein(AT4G29420),AT4G29420
AT4G29430,ribosomal protein S15A E(rps15ae),rps15ae
AT4G29440,Regulator of Vps4 activity in the MVB pathway protein(AT4G29440),AT4G29440
AT4G29470,Phospholipase A2 family protein(PLA2-DELTA),PLA2-DELTA
AT4G29480,Mitochondrial ATP synthase subunit G protein(AT4G29480),AT4G29480
AT4G29490,Metallopeptidase M24 family protein(AT4G29490),AT4G29490
AT4G29510,arginine methyltransferase 11(PRMT11),PRMT11
AT4G29520,nucleophosmin(AT4G29520),AT4G29520
AT4G29530,Pyridoxal phosphate phosphatase-related protein(AT4G29530),AT4G29530
AT4G29540,bacterial transferase hexapeptide repeat-containing protein(LpxA),LpxA
AT4G29548,hypothetical protein(AT4G29548),AT4G29548
AT4G29550,hypothetical protein (DUF626)(AT4G29550),AT4G29550
AT4G29560,fanconi anemia group E protein FANCE protein(AT4G29560),AT4G29560
AT4G29570,Cytidine/deoxycytidylate deaminase family protein(AT4G29570),AT4G29570
AT4G29580,Cytidine/deoxycytidylate deaminase family protein(AT4G29580),AT4G29580
AT4G29590,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT4G29590),AT4G29590
AT4G29610,Cytidine/deoxycytidylate deaminase family protein(AT4G29610),AT4G29610
AT4G29650,Cytidine/deoxycytidylate deaminase family protein(AT4G29650),AT4G29650
AT4G29660,embryo defective 2752(EMB2752),EMB2752
AT4G29670,atypical CYS HIS rich thioredoxin 2(ACHT2),ACHT2
AT4G29680,Alkaline-phosphatase-like family protein(AT4G29680),AT4G29680
AT4G29690,Alkaline-phosphatase-like family protein(AT4G29690),AT4G29690
AT4G29700,Alkaline-phosphatase-like family protein(AT4G29700),AT4G29700
AT4G29710,Alkaline-phosphatase-like family protein(AT4G29710),AT4G29710
AT4G29720,polyamine oxidase 5(PAO5),PAO5
AT4G29730,nucleosome/chromatin assembly factor group C5(NFC5),NFC5
AT4G29735,transmembrane protein(AT4G29735),AT4G29735
AT4G29740,cytokinin oxidase 4(CKX4),CKX4
AT4G29750,CRS1 / YhbY (CRM) domain-containing protein(AT4G29750),AT4G29750
AT4G29760,target of trans acting-siR480/255 protein(AT4G29760),AT4G29760
AT4G29770,target of trans acting-siR480/255 protein(AT4G29770),AT4G29770
AT4G29780,nuclease(AT4G29780),AT4G29780
AT4G29790,serine/arginine repetitive matrix protein(AT4G29790),AT4G29790
AT4G29800,PATATIN-like protein 8(PLP8),PLP8
AT4G29810,MAP kinase kinase 2(MKK2),MKK2
AT4G29820,homolog of CFIM-25(CFIM-25),CFIM-25
AT4G29830,Transducin/WD40 repeat-like superfamily protein(VIP3),VIP3
AT4G29840,Pyridoxal-5'-phosphate-dependent enzyme family protein(MTO2),MTO2
AT4G29860,Transducin/WD40 repeat-like superfamily protein(EMB2757),EMB2757
AT4G29870,Oligosaccharyltransferase complex/magnesium transporter family protein(AT4G29870),AT4G29870
AT4G29880,plant intracellular ras group-related LRR 7(PIRL7),PIRL7
AT4G29890,"choline monooxygenase, putative (CMO-like)(AT4G29890)",AT4G29890
AT4G29900,autoinhibited Ca(2+)-ATPase 10(ACA10),ACA10
AT4G29905,hypothetical protein(AT4G29905),AT4G29905
AT4G29910,origin recognition complex protein 5(ORC5),ORC5
AT4G29920,Double Clp-N motif-containing P-loop nucleoside triphosphate hydrolases superfamily protein(AT4G29920),AT4G29920
AT4G29930,basic helix-loop-helix (bHLH) DNA-binding superfamily protein(AT4G29930),AT4G29930
AT4G29940,pathogenesis related homeodomain protein A(PRHA),PRHA
AT4G29950,Ypt/Rab-GAP domain of gyp1p superfamily protein(AT4G29950),AT4G29950
AT4G29960,transmembrane protein(AT4G29960),AT4G29960
AT4G29990,Leucine-rich repeat transmembrane protein kinase protein(AT4G29990),AT4G29990
AT4G30000,Dihydropterin pyrophosphokinase / Dihydropteroate synthase(AT4G30000),AT4G30000
AT4G30010,ATP-dependent RNA helicase(AT4G30010),AT4G30010
AT4G30020,PA-domain containing subtilase family protein(AT4G30020),AT4G30020
AT4G30060,"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein(AT4G30060)",AT4G30060
AT4G30080,auxin response factor 16(ARF16),ARF16
AT4G30090,golgin family A protein(AT4G30090),AT4G30090
AT4G30097,hypothetical protein(AT4G30097),AT4G30097
AT4G30100,P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT4G30100),AT4G30100
AT4G30110,heavy metal atpase 2(HMA2),HMA2
AT4G30120,heavy metal atpase 3(HMA3),HMA3
AT4G30130,DUF630 family protein (DUF630 and DUF632)(AT4G30130),AT4G30130
AT4G30140,GDSL-like Lipase/Acylhydrolase superfamily protein(CDEF1),CDEF1
AT4G30150,Urb2/Npa2 family protein(AT4G30150),AT4G30150
AT4G30160,villin 4(VLN4),VLN4
AT4G30170,Peroxidase family protein(AT4G30170),AT4G30170
AT4G30180,hypothetical protein(AT4G30180),AT4G30180
AT4G30190,H[+]-ATPase 2(HA2),HA2
AT4G30200,vernalization5/VIN3-like protein(VEL1),VEL1
AT4G30210,P450 reductase 2(ATR2),ATR2
AT4G30220,small nuclear ribonucleoprotein F(RUXF),RUXF
AT4G30230,hypothetical protein(AT4G30230),AT4G30230
AT4G30240,Syntaxin/t-SNARE family protein(AT4G30240),AT4G30240
AT4G30250,P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT4G30250),AT4G30250
AT4G30260,Integral membrane Yip1 family protein(AT4G30260),AT4G30260
AT4G30270,xyloglucan endotransglucosylase/hydrolase 24(XTH24),XTH24
AT4G30280,xyloglucan endotransglucosylase/hydrolase 18(XTH18),XTH18
AT4G30290,xyloglucan endotransglucosylase/hydrolase 19(XTH19),XTH19
AT4G30310,FGGY family of carbohydrate kinase(AT4G30310),AT4G30310
AT4G30320,"CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein(AT4G30320)",AT4G30320
AT4G30330,Small nuclear ribonucleoprotein family protein(AT4G30330),AT4G30330
AT4G30340,diacylglycerol kinase 7(DGK7),DGK7
AT4G30350,Double Clp-N motif-containing P-loop nucleoside triphosphate hydrolases superfamily protein(AT4G30350),AT4G30350
AT4G30360,cyclic nucleotide-gated channel 17(CNGC17),CNGC17
AT4G30370,RING/U-box superfamily protein(AT4G30370),AT4G30370
AT4G30390,UDP-arabinopyranose mutase(AT4G30390),AT4G30390
AT4G30400,RING/U-box superfamily protein(AT4G30400),AT4G30400
AT4G30410,sequence-specific DNA binding transcription factor(AT4G30410),AT4G30410
AT4G30420,nodulin MtN21 /EamA-like transporter family protein(UMAMIT34),UMAMIT34
AT4G30430,tetraspanin9(TET9),TET9
AT4G30440,UDP-D-glucuronate 4-epimerase 1(GAE1),GAE1
AT4G30450,glycine-rich protein(AT4G30450),AT4G30450
AT4G30460,glycine-rich protein(AT4G30460),AT4G30460
AT4G30470,NAD(P)-binding Rossmann-fold superfamily protein(AT4G30470),AT4G30470
AT4G30480,Tetratricopeptide repeat (TPR)-like superfamily protein(TPR1),TPR1
AT4G30490,AFG1-like ATPase family protein(AT4G30490),AT4G30490
AT4G30500,transmembrane protein (DUF788)(AT4G30500),AT4G30500
AT4G30510,autophagy 18 B-like protein(ATG18B),ATG18B
AT4G30520,Leucine-rich repeat protein kinase family protein(SARK),SARK
AT4G30530,Class I glutamine amidotransferase-like superfamily protein(GGP1),GGP1
AT4G30550,Class I glutamine amidotransferase-like superfamily protein(GGP3),GGP3
AT4G30560,cyclic nucleotide gated channel 9(CNGC9),CNGC9
AT4G30570,Glucose-1-phosphate adenylyltransferase family protein(AT4G30570),AT4G30570
AT4G30580,Phospholipid/glycerol acyltransferase family protein(ATS2),ATS2
AT4G30600,signal recognition particle receptor alpha subunit family protein(AT4G30600),AT4G30600
AT4G30610,alpha/beta-Hydrolases superfamily protein(BRS1),BRS1
AT4G30620,"Putative BCR, YbaB family COG0718(AT4G30620)",AT4G30620
AT4G30630,hypothetical protein(AT4G30630),AT4G30630
AT4G30640,RNI-like superfamily protein(AT4G30640),AT4G30640
AT4G30650,Low temperature and salt responsive protein family(AT4G30650),AT4G30650
AT4G30660,Low temperature and salt responsive protein family(AT4G30660),AT4G30660
AT4G30662,hypothetical protein(AT4G30662),AT4G30662
AT4G30670,Putative membrane lipoprotein(AT4G30670),AT4G30670
AT4G30680,"Initiation factor eIF-4 gamma, MA3(AT4G30680)",AT4G30680
AT4G30690,Translation initiation factor 3 protein(AT4G30690),AT4G30690
AT4G30700,Pentatricopeptide repeat (PPR) superfamily protein(MEF29),MEF29
AT4G30710,QWRF motif protein (DUF566)(QWRF8),QWRF8
AT4G30720,FAD/NAD(P)-binding oxidoreductase family protein(PDE327),PDE327
AT4G30730,hypothetical protein(AT4G30730),AT4G30730
AT4G30750,hypothetical protein(AT4G30750),AT4G30750
AT4G30760,Putative endonuclease or glycosyl hydrolase(AT4G30760),AT4G30760
AT4G30780,ATP-dependent DNA helicase(AT4G30780),AT4G30780
AT4G30790,autophagy-like protein(AT4G30790),AT4G30790
AT4G30800,"Nucleic acid-binding, OB-fold-like protein(AT4G30800)",AT4G30800
AT4G30810,serine carboxypeptidase-like 29(scpl29),scpl29
AT4G30820,cyclin-dependent kinase-activating kinase assembly factor-related / CDK-activating kinase assembly factor-like protein(AT4G30820),AT4G30820
AT4G30825,Tetratricopeptide repeat (TPR)-like superfamily protein(AT4G30825),AT4G30825
AT4G30830,"myosin-like protein (Protein of unknown function, DUF593)(AT4G30830)",AT4G30830
AT4G30840,Transducin/WD40 repeat-like superfamily protein(AT4G30840),AT4G30840
AT4G30845,DNA-directed RNA polymerase subunit beta(AT4G30845),AT4G30845
AT4G30850,heptahelical transmembrane protein2(HHP2),HHP2
AT4G30860,SET domain group 4(SDG4),SDG4
AT4G30870,"Restriction endonuclease, type II-like superfamily protein(MUS81)",MUS81
AT4G30890,ubiquitin-specific protease 24(UBP24),UBP24
AT4G30900,DNAse I-like superfamily protein(AT4G30900),AT4G30900
AT4G30910,Cytosol aminopeptidase family protein(AT4G30910),AT4G30910
AT4G30920,Cytosol aminopeptidase family protein(LAP2),LAP2
AT4G30930,Ribosomal protein L21(NFD1),NFD1
