"gene","Dittberner_moleco18_Delta_13C_rs","Dittberner_moleco18_Delta_13C_P_val","annotation","symbol"
"AT2G02160",-0.11,0.31,"CCCH-type zinc finger family protein(AT2G02160)","AT2G02160"
"AT2G02560",-0.11,0.29,"cullin-associated and neddylation dissociated(CAND1)","CAND1"
"AT2G02795",-0.11,0.31,"transmembrane protein(AT2G02795)","AT2G02795"
"AT2G04940",-0.11,0.29,"scramblase-like protein(AT2G04940)","AT2G04940"
"AT2G07711",-0.11,0.32,"miscRNA(AT2G07711)","AT2G07711"
"AT2G12550",-0.11,0.3,"ubiquitin-associated (UBA)/TS-N domain-containing protein(NUB1)","NUB1"
"AT2G16050",-0.11,0.3,"Cysteine/Histidine-rich C1 domain family protein(AT2G16050)","AT2G16050"
"AT2G16440",-0.11,0.33,"Minichromosome maintenance (MCM2/3/5) family protein(MCM4)","MCM4"
"AT2G17840",-0.11,0.29,"Senescence/dehydration-associated protein-like protein(ERD7)","ERD7"
"AT2G18240",-0.11,0.31,"Rer1 family protein(AT2G18240)","AT2G18240"
"AT2G18250",-0.11,0.31,"4-phosphopantetheine adenylyltransferase(COAD)","COAD"
"AT2G18690",-0.11,0.33,"transmembrane protein(AT2G18690)","AT2G18690"
"AT2G19840",-0.11,0.3,"hypothetical protein(AT2G19840)","AT2G19840"
"AT2G19900",-0.11,0.32,"NADP-malic enzyme 1(NADP-ME1)","NADP-ME1"
"AT2G20060",-0.11,0.31,"Ribosomal protein L4/L1 family(AT2G20060)","AT2G20060"
"AT2G20515",-0.11,0.31,"pollen Ole e I family allergen protein(AT2G20515)","AT2G20515"
"AT2G20540",-0.11,0.32,"mitochondrial editing factor 21(MEF21)","MEF21"
"AT2G20740",-0.11,0.3,"Tetraspanin family protein(AT2G20740)","AT2G20740"
"AT2G22490",-0.11,0.29,"Cyclin D2;1(CYCD2;1)","CYCD2;1"
"AT2G22600",-0.11,0.33,"RNA-binding KH domain-containing protein(AT2G22600)","AT2G22600"
"AT2G22920",-0.11,0.29,"serine carboxypeptidase-like 12(SCPL12)","SCPL12"
"AT2G23770",-0.11,0.32,"protein kinase family protein / peptidoglycan-binding LysM domain-containing protein(LYK4)","LYK4"
"AT2G23830",-0.11,0.29,"PapD-like superfamily protein(AT2G23830)","AT2G23830"
"AT2G24260",-0.11,0.32,"LJRHL1-like 1(LRL1)","LRL1"
"AT2G24560",-0.11,0.3,"GDSL-like Lipase/Acylhydrolase family protein(AT2G24560)","AT2G24560"
"AT2G25470",-0.11,0.32,"receptor like protein 21(RLP21)","RLP21"
"AT2G25490",-0.11,0.33,"EIN3-binding F box protein 1(EBF1)","EBF1"
"AT2G26560",-0.11,0.29,"phospholipase A 2A(PLA2A)","PLA2A"
"AT2G27260",-0.11,0.32,"Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family(AT2G27260)","AT2G27260"
"AT2G27430",-0.11,0.32,"ARM repeat superfamily protein(AT2G27430)","AT2G27430"
"AT2G27870",-0.11,0.31,"hypothetical protein(AT2G27870)","AT2G27870"
"AT2G27930",-0.11,0.33,"PLATZ transcription factor family protein(AT2G27930)","AT2G27930"
"AT2G28720",-0.11,0.29,"Histone superfamily protein(AT2G28720)","AT2G28720"
"AT2G29680",-0.11,0.3,"cell division control 6(CDC6)","CDC6"
"AT2G30270",-0.11,0.3,"LURP-one-like protein (DUF567)(AT2G30270)","AT2G30270"
"AT2G30640",-0.11,0.3,"hypothetical protein(MUG2)","MUG2"
"AT2G30670",-0.11,0.31,"NAD(P)-binding Rossmann-fold superfamily protein(AT2G30670)","AT2G30670"
"AT2G31020",-0.11,0.32,"OSBP(oxysterol binding protein)-related protein 1A(ORP1A)","ORP1A"
"AT2G31840",-0.11,0.3,"Thioredoxin superfamily protein(MRL7-L)","MRL7-L"
"AT2G32390",-0.11,0.32,"glutamate receptor 3.5(GLR3.5)","GLR3.5"
"AT2G33080",-0.11,0.29,"receptor like protein 28(RLP28)","RLP28"
"AT2G34250",-0.11,0.3,"SecY protein transport family protein(AT2G34250)","AT2G34250"
"AT2G34580",-0.11,0.3,"cytomegalovirus UL139 protein(AT2G34580)","AT2G34580"
"AT2G34790",-0.11,0.3,"FAD-binding Berberine family protein(MEE23)","MEE23"
"AT2G35170",-0.11,0.32,"Histone H3 K4-specific methyltransferase SET7/9 family protein(AT2G35170)","AT2G35170"
"AT2G35350",-0.11,0.32,"poltergeist like 1(PLL1)","PLL1"
"AT2G37410",-0.11,0.32,"translocase inner membrane subunit 17-2(TIM17-2)","TIM17-2"
"AT2G37660",-0.11,0.29,"NAD(P)-binding Rossmann-fold superfamily protein(AT2G37660)","AT2G37660"
"AT2G37740",-0.11,0.3,"zinc-finger protein 10(ZFP10)","ZFP10"
"AT2G37925",-0.11,0.31,"copper transporter 4(COPT4)","COPT4"
"AT2G38210",-0.11,0.3,"putative PDX1-like protein 4(PDX1L4)","PDX1L4"
"AT2G38690",-0.11,0.31,"gem-associated-like protein(AT2G38690)","AT2G38690"
"AT2G39370",-0.11,0.31,"membrane-associated kinase regulator(MAKR4)","MAKR4"
"AT2G40290",-0.11,0.29,"Eukaryotic translation initiation factor 2 subunit 1(AT2G40290)","AT2G40290"
"AT2G40850",-0.11,0.31,"phosphoinositide 4-kinase gamma 1(PI4K GAMMA 1)","PI4K GAMMA 1"
"AT2G41130",-0.11,0.29,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein(AT2G41130)","AT2G41130"
"AT2G41340",-0.11,0.32,"RNA polymerase II fifth largest subunit, D(RPB5D)","RPB5D"
"AT2G41620",-0.11,0.32,"Nucleoporin interacting component (Nup93/Nic96-like) family protein(AT2G41620)","AT2G41620"
"AT2G42330",-0.11,0.32,"GC-rich sequence DNA-binding factor-like protein with Tuftelin interacting domain-containing protein(AT2G42330)","AT2G42330"
"AT2G42740",-0.11,0.31,"ribosomal protein large subunit 16A(RPL16A)","RPL16A"
"AT2G42870",-0.11,0.31,"phy rapidly regulated 1(PAR1)","PAR1"
"AT2G42880",-0.11,0.29,"MAP kinase 20(MPK20)","MPK20"
"AT2G43490",-0.11,0.32,"Ypt/Rab-GAP domain of gyp1p superfamily protein(AT2G43490)","AT2G43490"
"AT2G43570",-0.11,0.32,"chitinase(CHI)","CHI"
"AT2G43865",-0.11,0.3,"hypothetical protein(AT2G43865)","AT2G43865"
"AT2G45540",-0.11,0.33,"WD-40 repeat family protein / beige-like protein(AT2G45540)","AT2G45540"
"AT2G45840",-0.11,0.29,"O-glucosyltransferase rumi-like protein (DUF821)(AT2G45840)","AT2G45840"
"AT2G47310",-0.11,0.31,"flowering time control protein-related / FCA gamma-like protein(AT2G47310)","AT2G47310"
"AT2G47710",-0.11,0.3,"Adenine nucleotide alpha hydrolases-like superfamily protein(AT2G47710)","AT2G47710"
"AT2G47860",-0.11,0.29,"Phototropic-responsive NPH3 family protein(SETH6)","SETH6"
"AT2G47980",-0.11,0.32,"sister-chromatid cohesion protein 3(SCC3)","SCC3"
"AT3G01090",-0.11,0.29,"SNF1 kinase homolog 10(KIN10)","KIN10"
"AT3G01780",-0.11,0.31,"ARM repeat superfamily protein(TPLATE)","TPLATE"
"AT3G02480",-0.11,0.32,"Late embryogenesis abundant protein (LEA) family protein(AT3G02480)","AT3G02480"
"AT3G03010",-0.11,0.29,"Peptidyl-tRNA hydrolase II (PTH2) family protein(AT3G03010)","AT3G03010"
"AT3G04130",-0.11,0.31,"Tetratricopeptide repeat (TPR)-like superfamily protein(AT3G04130)","AT3G04130"
"AT3G04580",-0.11,0.29,"Signal transduction histidine kinase, hybrid-type, ethylene sensor(EIN4)","EIN4"
"AT3G04740",-0.11,0.31,"RNA polymerase II transcription mediator(SWP)","SWP"
"AT3G04900",-0.11,0.31,"Heavy metal transport/detoxification superfamily protein(AT3G04900)","AT3G04900"
"AT3G05570",-0.11,0.33,"dipeptide transport ATP-binding protein(AT3G05570)","AT3G05570"
"AT3G05680",-0.11,0.32,"embryo defective 2016(EMB2016)","EMB2016"
"AT3G05730",-0.11,0.32,"defensin-like protein(AT3G05730)","AT3G05730"
"AT3G07510",-0.11,0.32,"maternal effect embryo arrest protein(AT3G07510)","AT3G07510"
"AT3G07590",-0.11,0.3,"Small nuclear ribonucleoprotein family protein(AT3G07590)","AT3G07590"
"AT3G08500",-0.11,0.3,"myb domain protein 83(MYB83)","MYB83"
"AT3G08530",-0.11,0.31,"Clathrin, heavy chain(AT3G08530)","AT3G08530"
"AT3G08550",-0.11,0.33,"elongation defective 1 protein / ELD1 protein(KOB1)","KOB1"
"AT3G09000",-0.11,0.33,"proline-rich family protein(AT3G09000)","AT3G09000"
"AT3G09060",-0.11,0.3,"Pentatricopeptide repeat (PPR) superfamily protein(AT3G09060)","AT3G09060"
"AT3G09320",-0.11,0.32,"DHHC-type zinc finger family protein(AT3G09320)","AT3G09320"
"AT3G09680",-0.11,0.32,"Ribosomal protein S12/S23 family protein(AT3G09680)","AT3G09680"
"AT3G10390",-0.11,0.29,"protein FLOWERING locus D-like protein(FLD)","FLD"
"AT3G10600",-0.11,0.31,"cationic amino acid transporter 7(CAT7)","CAT7"
"AT3G11150",-0.11,0.31,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT3G11150)","AT3G11150"
"AT3G11220",-0.11,0.32,"Paxneb protein-like protein(ELO1)","ELO1"
"AT3G12170",-0.11,0.29,"Chaperone DnaJ-domain superfamily protein(AT3G12170)","AT3G12170"
"AT3G12203",-0.11,0.32,"serine carboxypeptidase-like 17(scpl17)","scpl17"
"AT3G12670",-0.11,0.31,"CTP synthase family protein(emb2742)","emb2742"
"AT3G12800",-0.11,0.32,"short-chain dehydrogenase-reductase B(SDRB)","SDRB"
"AT3G13350",-0.11,0.32,"HMG (high mobility group) box protein with ARID/BRIGHT DNA-binding domain-containing protein(AT3G13350)","AT3G13350"
"AT3G13674",-0.11,0.3,"hypothetical protein(AT3G13674)","AT3G13674"
"AT3G14050",-0.11,0.31,"RELA/SPOT homolog 2(RSH2)","RSH2"
"AT3G14400",-0.11,0.29,"ubiquitin-specific protease 25(UBP25)","UBP25"
"AT3G14860",-0.11,0.3,"NHL domain-containing protein(AT3G14860)","AT3G14860"
"AT3G15030",-0.11,0.29,"TCP family transcription factor 4(TCP4)","TCP4"
"AT3G15352",-0.11,0.32,"cytochrome c oxidase 17(COX17)","COX17"
"AT3G15590",-0.11,0.3,"Tetratricopeptide repeat (TPR)-like superfamily protein(AT3G15590)","AT3G15590"
"AT3G16110",-0.11,0.33,"PDI-like 1-6(PDIL1-6)","PDIL1-6"
"AT3G17210",-0.11,0.29,"heat stable protein 1(HS1)","HS1"
"AT3G18680",-0.11,0.31,"Amino acid kinase family protein(AT3G18680)","AT3G18680"
"AT3G18880",-0.11,0.32,"Nucleic acid-binding, OB-fold-like protein(AT3G18880)","AT3G18880"
"AT3G18960",-0.11,0.33,"AP2/B3-like transcriptional factor family protein(AT3G18960)","AT3G18960"
"AT3G19270",-0.11,0.3,"cytochrome P450, family 707, subfamily A, polypeptide 4(CYP707A4)","CYP707A4"
"AT3G19515",-0.11,0.3,"apoptosis inhibitor(AT3G19515)","AT3G19515"
"AT3G19615",-0.11,0.32,"beta-1,4-xylosidase(AT3G19615)","AT3G19615"
"AT3G19660",-0.11,0.32,"hypothetical protein(AT3G19660)","AT3G19660"
"AT3G20440",-0.11,0.3,"Alpha amylase family protein(EMB2729)","EMB2729"
"AT3G20720",-0.11,0.3,"amino-terminal region of chorein(AT3G20720)","AT3G20720"
"AT3G21320",-0.11,0.29,"EARLY FLOWERING protein(AT3G21320)","AT3G21320"
"AT3G22370",-0.11,0.31,"alternative oxidase 1A(AOX1A)","AOX1A"
"AT3G22600",-0.11,0.29,"Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT3G22600)","AT3G22600"
"AT3G23020",-0.11,0.29,"Tetratricopeptide repeat (TPR)-like superfamily protein(AT3G23020)","AT3G23020"
"AT3G23610",-0.11,0.31,"dual specificity protein phosphatase 1(DSPTP1)","DSPTP1"
"AT3G23725",-0.11,0.3,"hypothetical protein(AT3G23725)","AT3G23725"
"AT3G24560",-0.11,0.3,"Adenine nucleotide alpha hydrolases-like superfamily protein(RSY3)","RSY3"
"AT3G25150",-0.11,0.3,"Nuclear transport factor 2 (NTF2) family protein with RNA binding (RRM-RBD-RNP motifs) domain-containing protein(AT3G25150)","AT3G25150"
"AT3G26480",-0.11,0.31,"Transducin family protein / WD-40 repeat family protein(AT3G26480)","AT3G26480"
"AT3G26990",-0.11,0.3,"ENTH/VHS family protein(AT3G26990)","AT3G26990"
"AT3G28455",-0.11,0.33,"CLAVATA3/ESR-RELATED 25(CLE25)","CLE25"
"AT3G28899",-0.11,0.32,"hypothetical protein(AT3G28899)","AT3G28899"
"AT3G29156",-0.11,0.32,"hypothetical protein(AT3G29156)","AT3G29156"
"AT3G45050",-0.11,0.3,"transmembrane protein(AT3G45050)","AT3G45050"
"AT3G45300",-0.11,0.29,"isovaleryl-CoA-dehydrogenase(IVD)","IVD"
"AT3G45443",-0.11,0.29,"hypothetical protein(AT3G45443)","AT3G45443"
"AT3G45620",-0.11,0.3,"Transducin/WD40 repeat-like superfamily protein(AT3G45620)","AT3G45620"
"AT3G45960",-0.11,0.32,"expansin-like A3(EXLA3)","EXLA3"
"AT3G46140",-0.11,0.29,"Protein kinase superfamily protein(AT3G46140)","AT3G46140"
"AT3G46630",-0.11,0.32,"DCL protein (DUF3223)(AT3G46630)","AT3G46630"
"AT3G47980",-0.11,0.3,"Integral membrane HPP family protein(AT3G47980)","AT3G47980"
"AT3G48115",-0.11,0.31,"ncRNA(AT3G48115)","AT3G48115"
"AT3G48830",-0.11,0.33,"tRNA nucleotidyltransferase/polyA polymerase family protein(AT3G48830)","AT3G48830"
"AT3G49590",-0.11,0.31,"Autophagy-related protein 13(ATG13)","ATG13"
"AT3G50170",-0.11,0.33,"transmembrane protein, putative (DUF247)(AT3G50170)","AT3G50170"
"AT3G50590",-0.11,0.3,"Transducin/WD40 repeat-like superfamily protein(AT3G50590)","AT3G50590"
"AT3G54250",-0.11,0.3,"GHMP kinase family protein(AT3G54250)","AT3G54250"
"AT3G54440",-0.11,0.32,"glycoside hydrolase family 2 protein(AT3G54440)","AT3G54440"
"AT3G54680",-0.11,0.33,"proteophosphoglycan-like protein(AT3G54680)","AT3G54680"
"AT3G54823",-0.11,0.31,"hypothetical protein(AT3G54823)","AT3G54823"
"AT3G55270",-0.11,0.31,"mitogen-activated protein kinase phosphatase 1(MKP1)","MKP1"
"AT3G56190",-0.11,0.3,"alpha-soluble NSF attachment protein 2(ALPHA-SNAP2)","ALPHA-SNAP2"
"AT3G57090",-0.11,0.31,"Tetratricopeptide repeat (TPR)-like superfamily protein(BIGYIN)","BIGYIN"
"AT3G58060",-0.11,0.29,"Cation efflux family protein(AT3G58060)","AT3G58060"
"AT3G58390",-0.11,0.31,"Eukaryotic release factor 1 (eRF1) family protein(AT3G58390)","AT3G58390"
"AT3G58540",-0.11,0.29,"hypothetical protein(AT3G58540)","AT3G58540"
"AT3G58710",-0.11,0.31,"WRKY DNA-binding protein 69(WRKY69)","WRKY69"
"AT3G58940",-0.11,0.32,"F-box/RNI-like superfamily protein(AT3G58940)","AT3G58940"
"AT3G59180",-0.11,0.3,"Protein with RNI-like/FBD-like domain(AT3G59180)","AT3G59180"
"AT3G59750",-0.11,0.29,"Concanavalin A-like lectin protein kinase family protein(AT3G59750)","AT3G59750"
"AT3G59890",-0.11,0.29,"Dihydrodipicolinate reductase, bacterial/plant(AT3G59890)","AT3G59890"
"AT3G61111",-0.11,0.33,"Zinc-binding ribosomal protein family protein(AT3G61111)","AT3G61111"
"AT3G62830",-0.11,0.3,"NAD(P)-binding Rossmann-fold superfamily protein(AUD1)","AUD1"
"AT3G63000",-0.11,0.29,"NPL4-like protein 1(NPL41)","NPL41"
"AT3G63300",-0.11,0.3,"FORKED 1(FKD1)","FKD1"
"AT4G00090",-0.11,0.33,"Transducin/WD40 repeat-like superfamily protein(AT4G00090)","AT4G00090"
"AT4G00560",-0.11,0.31,"NAD(P)-binding Rossmann-fold superfamily protein(AT4G00560)","AT4G00560"
"AT4G01650",-0.11,0.29,"Polyketide cyclase / dehydrase and lipid transport protein(AT4G01650)","AT4G01650"
"AT4G02640",-0.11,0.29,"bZIP transcription factor family protein(BZO2H1)","BZO2H1"
"AT4G04990",-0.11,0.29,"serine/arginine repetitive matrix-like protein (DUF761)(AT4G04990)","AT4G04990"
"AT4G05070",-0.11,0.33,"Wound-responsive family protein(AT4G05070)","AT4G05070"
"AT4G05500",-0.11,0.31,"miscRNA(AT4G05500)","AT4G05500"
"AT4G05540",-0.11,0.32,"P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT4G05540)","AT4G05540"
"AT4G08230",-0.11,0.32,"glycine-rich protein(AT4G08230)","AT4G08230"
"AT4G08395",-0.11,0.3,"hypothetical protein(AT4G08395)","AT4G08395"
"AT4G08770",-0.11,0.32,"Peroxidase superfamily protein(Prx37)","Prx37"
"AT4G08780",-0.11,0.32,"Peroxidase superfamily protein(AT4G08780)","AT4G08780"
"AT4G09490",-0.11,0.29,"Polynucleotidyl transferase, ribonuclease H-like superfamily protein(AT4G09490)","AT4G09490"
"AT4G09600",-0.11,0.32,"GAST1 protein homolog 3(GASA3)","GASA3"
"AT4G09830",-0.11,0.29,"nuclear receptor family 2 group C protein(AT4G09830)","AT4G09830"
"AT4G09970",-0.11,0.31,"transmembrane protein(AT4G09970)","AT4G09970"
"AT4G10000",-0.11,0.33,"Thioredoxin family protein(AT4G10000)","AT4G10000"
"AT4G10110",-0.11,0.3,"RNA-binding (RRM/RBD/RNP motifs) family protein(AT4G10110)","AT4G10110"
"AT4G10265",-0.11,0.29,"Wound-responsive family protein(AT4G10265)","AT4G10265"
"AT4G10465",-0.11,0.31,"Heavy metal transport/detoxification superfamily protein(AT4G10465)","AT4G10465"
"AT4G10590",-0.11,0.3,"ubiquitin-specific protease 10(UBP10)","UBP10"
"AT4G11450",-0.11,0.33,"bromo-adjacent domain protein, putative (DUF3527)(AT4G11450)","AT4G11450"
"AT4G11710",-0.11,0.32,"hypothetical protein(AT4G11710)","AT4G11710"
"AT4G11820",-0.11,0.32,"hydroxymethylglutaryl-CoA synthase / HMG-CoA synthase / 3-hydroxy-3-methylglutaryl coenzyme A synthase(HMGS)","HMGS"
"AT4G11911",-0.11,0.33,"STAY-GREEN-like protein(AT4G11911)","AT4G11911"
"AT4G12300",-0.11,0.31,"cytochrome P450, family 706, subfamily A, polypeptide 4(CYP706A4)","CYP706A4"
"AT4G12423",-0.11,0.29,"hypothetical protein(AT4G12423)","AT4G12423"
"AT4G13340",-0.11,0.3,"Leucine-rich repeat (LRR) family protein(LRX3)","LRX3"
"AT4G14150",-0.11,0.32,"phragmoplast-associated kinesin-related protein 1(PAKRP1)","PAKRP1"
"AT4G14290",-0.11,0.32,"alpha/beta-Hydrolases superfamily protein(AT4G14290)","AT4G14290"
"AT4G14305",-0.11,0.31,"Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein(AT4G14305)","AT4G14305"
"AT4G14680",-0.11,0.3,"Pseudouridine synthase/archaeosine transglycosylase-like family protein(APS3)","APS3"
"AT4G14990",-0.11,0.32,"Topoisomerase II-associated protein PAT1(AT4G14990)","AT4G14990"
"AT4G15280",-0.11,0.33,"UDP-glucosyl transferase 71B5(UGT71B5)","UGT71B5"
"AT4G16330",-0.11,0.3,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT4G16330)","AT4G16330"
"AT4G17370",-0.11,0.33,"Oxidoreductase family protein(AT4G17370)","AT4G17370"
"AT4G17500",-0.11,0.31,"ethylene responsive element binding factor 1(ERF-1)","ERF-1"
"AT4G17950",-0.11,0.32,"AT hook motif DNA-binding family protein(AT4G17950)","AHL13"
"AT4G19000",-0.11,0.32,"Transcription elongation factor (TFIIS) family protein(IWS2)","IWS2"
"AT4G19860",-0.11,0.32,"alpha/beta-Hydrolases superfamily protein(AT4G19860)","AT4G19860"
"AT4G22020",-0.11,0.31,"miscRNA(AT4G22020)","AT4G22020"
"AT4G23070",-0.11,0.3,"RHOMBOID-like protein 7(RBL7)","RBL7"
"AT4G23800",-0.11,0.3,"HMG (high mobility group) box protein(3xHMG-box2)","3xHMG-box2"
"AT4G24270",-0.11,0.31,"EMBRYO DEFECTIVE 140(EMB140)","EMB140"
"AT4G24340",-0.11,0.32,"Phosphorylase superfamily protein(AT4G24340)","AT4G24340"
"AT4G24920",-0.11,0.31,"secE/sec61-gamma protein transport protein(AT4G24920)","AT4G24920"
"AT4G25180",-0.11,0.33,"RNA polymerase III RPC4(AT4G25180)","AT4G25180"
"AT4G25390",-0.11,0.31,"Protein kinase superfamily protein(AT4G25390)","AT4G25390"
"AT4G26120",-0.11,0.33,"Ankyrin repeat family protein / BTB/POZ domain-containing protein(AT4G26120)","AT4G26120"
"AT4G27370",-0.11,0.29,"P-loop containing nucleoside triphosphate hydrolases superfamily protein(VIIIB)","VIIIB"
"AT4G27500",-0.11,0.33,"proton pump interactor 1(PPI1)","PPI1"
"AT4G28310",-0.11,0.32,"microtubule-associated protein(AT4G28310)","AT4G28310"
"AT4G28410",-0.11,0.33,"Tyrosine transaminase family protein(AT4G28410)","AT4G28410"
"AT4G28630",-0.11,0.32,"ABC transporter of the mitochondrion 1(ABCB23)","ABCB23"
"AT4G28710",-0.11,0.32,"Myosin family protein with Dil domain-containing protein(XIH)","XIH"
"AT4G29020",-0.11,0.33,"glycine-rich protein(AT4G29020)","AT4G29020"
"AT4G29305",-0.11,0.29,"low-molecular-weight cysteine-rich 25(LCR25)","LCR25"
"AT4G30130",-0.11,0.32,"DUF630 family protein (DUF630 and DUF632)(AT4G30130)","AT4G30130"
"AT4G30260",-0.11,0.29,"Integral membrane Yip1 family protein(AT4G30260)","AT4G30260"
"AT4G30760",-0.11,0.32,"Putative endonuclease or glycosyl hydrolase(AT4G30760)","AT4G30760"
"AT4G31150",-0.11,0.32,"endonuclease V family protein(AT4G31150)","AT4G31150"
"AT4G31620",-0.11,0.3,"Transcriptional factor B3 family protein(AT4G31620)","AT4G31620"
"AT4G32050",-0.11,0.33,"neurochondrin family protein(AT4G32050)","AT4G32050"
"AT4G32530",-0.11,0.31,"ATPase, F0/V0 complex, subunit C protein(AT4G32530)","AT4G32530"
"AT4G32670",-0.11,0.3,"RING/FYVE/PHD zinc finger superfamily protein(AT4G32670)","AT4G32670"
"AT4G33410",-0.11,0.31,"SIGNAL PEPTIDE PEPTIDASE-LIKE 1(SPPL1)","SPPL1"
"AT4G33990",-0.11,0.3,"Tetratricopeptide repeat (TPR)-like superfamily protein(EMB2758)","EMB2758"
"AT4G35800",-0.11,0.31,"RNA polymerase II large subunit(NRPB1)","NRPB1"
"AT4G35850",-0.11,0.32,"Pentatricopeptide repeat (PPR) superfamily protein(AT4G35850)","AT4G35850"
"AT4G36290",-0.11,0.3,"compromized recognition of TCV 1(CRT1)","CRT1"
"AT4G36400",-0.11,0.33,"FAD-linked oxidases family protein(D2HGDH)","D2HGDH"
"AT4G36780",-0.11,0.31,"BES1/BZR1 homolog 2(BEH2)","BEH2"
"AT4G39361",-0.11,0.3,"ncRNA(AT4G39361)","AT4G39361"
"AT4G39364",-0.11,0.29,"ncRNA(AT4G39364)","AT4G39364"
"AT4G39920",-0.11,0.32,"C-CAP/cofactor C-like domain-containing protein(POR)","POR"
"AT5G01380",-0.11,0.29,"Homeodomain-like superfamily protein(AT5G01380)","AT5G01380"
"AT5G02130",-0.11,0.32,"Tetratricopeptide repeat (TPR)-like superfamily protein(NDP1)","NDP1"
"AT5G03090",-0.11,0.3,"Mto 1 responding down protein(AT5G03090)","AT5G03090"
"AT5G03450",-0.11,0.32,"Transducin/WD40 repeat-like superfamily protein(AT5G03450)","AT5G03450"
"AT5G03610",-0.11,0.29,"GDSL-like Lipase/Acylhydrolase superfamily protein(AT5G03610)","AT5G03610"
"AT5G03690",-0.11,0.31,"Aldolase superfamily protein(FBA4)","FBA4"
"AT5G04270",-0.11,0.3,"DHHC-type zinc finger family protein(AT5G04270)","AT5G04270"
"AT5G04620",-0.11,0.29,"biotin F(BIOF)","BIOF"
"AT5G04700",-0.11,0.3,"Ankyrin repeat family protein(AT5G04700)","AT5G04700"
"AT5G05250",-0.11,0.33,"hypothetical protein(AT5G05250)","AT5G05250"
"AT5G05630",-0.11,0.29,"Amino acid permease family protein(RMV1)","RMV1"
"AT5G05940",-0.11,0.29,"ROP guanine nucleotide exchange factor 5(ROPGEF5)","ROPGEF5"
"AT5G07630",-0.11,0.3,"lipid transporter(AT5G07630)","AT5G07630"
"AT5G07950",-0.11,0.31,"hypothetical protein(AT5G07950)","AT5G07950"
"AT5G08580",-0.11,0.29,"Calcium-binding EF hand family protein(AT5G08580)","AT5G08580"
"AT5G10745",-0.11,0.3,"transmembrane protein(AT5G10745)","AT5G10745"
"AT5G11300",-0.11,0.32,"mitotic-like cyclin 3B from Arabidopsi(CYC3B)","CYC3B"
"AT5G11340",-0.11,0.29,"Acyl-CoA N-acyltransferases (NAT) superfamily protein(AT5G11340)","AT5G11340"
"AT5G11800",-0.11,0.31,"K+ efflux antiporter 6(KEA6)","KEA6"
"AT5G11960",-0.11,0.33,"magnesium transporter, putative (DUF803)(AT5G11960)","AT5G11960"
"AT5G11980",-0.11,0.32,"conserved oligomeric Golgi complex component-related / COG complex component-like protein(AT5G11980)","AT5G11980"
"AT5G12420",-0.11,0.31,"O-acyltransferase (WSD1-like) family protein(AT5G12420)","AT5G12420"
"AT5G14680",-0.11,0.32,"Adenine nucleotide alpha hydrolases-like superfamily protein(AT5G14680)","AT5G14680"
"AT5G14950",-0.11,0.3,"golgi alpha-mannosidase II(GMII)","GMII"
"AT5G15130",-0.11,0.33,"WRKY DNA-binding protein 72(WRKY72)","WRKY72"
"AT5G15890",-0.11,0.31,"TRICHOME BIREFRINGENCE-LIKE 21(TBL21)","TBL21"
"AT5G16210",-0.11,0.29,"HEAT repeat-containing protein(AT5G16210)","AT5G16210"
"AT5G16800",-0.11,0.33,"Acyl-CoA N-acyltransferases (NAT) superfamily protein(AT5G16800)","AT5G16800"
"AT5G16950",-0.11,0.32,"krueppel-like factor(AT5G16950)","AT5G16950"
"AT5G18490",-0.11,0.32,"vacuolar sorting-associated protein (DUF946)(AT5G18490)","AT5G18490"
"AT5G18690",-0.11,0.29,"arabinogalactan protein 25(AGP25)","AGP25"
"AT5G18840",-0.11,0.31,"Major facilitator superfamily protein(AT5G18840)","AT5G18840"
"AT5G19130",-0.11,0.3,"GPI transamidase component family protein / Gaa1-like family protein(AT5G19130)","AT5G19130"
"AT5G19330",-0.11,0.3,"ARM repeat protein interacting with ABF2(ARIA)","ARIA"
"AT5G19875",-0.11,0.29,"transmembrane protein(AT5G19875)","AT5G19875"
"AT5G19890",-0.11,0.3,"Peroxidase superfamily protein(AT5G19890)","AT5G19890"
"AT5G19960",-0.11,0.29,"RNA-binding (RRM/RBD/RNP motifs) family protein(AT5G19960)","AT5G19960"
"AT5G20190",-0.11,0.3,"Tetratricopeptide repeat (TPR)-like superfamily protein(AT5G20190)","AT5G20190"
"AT5G20400",-0.11,0.31,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT5G20400)","AT5G20400"
"AT5G20790",-0.11,0.3,"transmembrane protein(AT5G20790)","AT5G20790"
"AT5G22500",-0.11,0.32,"fatty acid reductase 1(FAR1)","FAR1"
"AT5G23430",-0.11,0.31,"Transducin/WD40 repeat-like superfamily protein(AT5G23430)","AT5G23430"
"AT5G23510",-0.11,0.29,"hypothetical protein(AT5G23510)","AT5G23510"
